"study","IDX","suno","age","gender","education","scircle","vote2012","vote2008","libcons","party","knowledge","SupFirst","Owarm","Ocomp","Swarm","Scomp","ID","Incentive","supportOC","prefOC","matchown","targetS","IDN","EST","exp","length"
1,374,1,33,1,2,41,2,2,3,1,2,0,4.4,6.4,6,4.2,0,0,1,5,0,0,0,0," I oppose ObamaCare because I don't want to be forced to get healthcare. The premiums that I have seen are unreasonably high. I can't simply afford to pay that much a month for something that might not happen anyways. ",218
1,261,1,33,1,2,41,2,2,3,1,2,0,4.4,6.4,6,4.2,0,0,1,5,0,1,0,0,"I support ObamaCare because I want my family and I to have the same basic care as everyone else that can afford it. I hope that it is a reasonable price. I want to feel safe in this time of uncertainty.",202
1,419,2,21,1,3,20,2,4,2,1,4,0,3.2,4.2,4.6,4.8,0,0,1,5,0,0,0,0,"Because he's a communist trying to ruin this country. Why should the government have the right to force me to buy anything?",123
1,306,2,21,1,3,20,2,4,2,1,4,0,3.2,4.2,4.6,4.8,0,0,1,5,0,1,0,0,"I support ObamaCare because it is giving people who wouldn't normally have access to affordable healthcare a chance at getting coverage. This will help them to avoid a catastrophic financial situation if they suddenly fall ill or have an accident and have to go to the hospital. ",280
1,342,3,22,2,4,33,4,4,2,1,2,0,4.8,5,4,3.8,0,0,1,5,0,0,0,0,"Because it is socialist. The government should not be involved in healthcare.",78
1,229,3,22,2,4,33,4,4,2,1,2,0,4.8,5,4,3.8,0,0,1,5,0,1,0,0,"It makes healthcare open to everyone. Even people without much income can get a subsidy. It also lessens costs. I can now buy it when I get a job.",147
1,375,4,47,1,4,60,2,2,2,1,5,0,3.4,3.4,6,5.2,0,0,1,7,0,0,0,0,"I am afraid I will not be able to keep my current coverage. /  / I am afraid I will not be able to keep my current doctors. /  / I am afraid I will have to pay more for the same coverage under ObamaCare. /  / I think that ObamaCare coverage requires me to pay for someone else's healthcare /  / I think that ObamaCare is a tax, and I'm against taxation. /  / ",359
1,262,4,47,1,4,60,2,2,2,1,5,0,3.4,3.4,6,5.2,0,0,1,7,0,1,0,0,"It offers healthcare coverage to tens of millions who can't otherwise get it. /  / ObamaCare will eliminate predatory insurance policies that cost more in premiums than they're worth by requiring minimums on coverage. /  / ObamaCare prevents insurance companies from cancelling policies. /  / ObamaCare prevents insurance companies from refusing people for pre-existing conditions. /  / In the long run, ObamaCare will actually save taxpayers by keeping the uninsured out of hospital emergency rooms. /  / In the long run, ObamaCare will make our healthcare in America more efficient. /  / ObamaCare exchanges establish fair and competitive markets which are consumer-friendly for purchasing insurance. /  / ",708
1,337,5,27,1,4,8,1,1,7,2,3,0,5.8,7,4.2,3.2,0,0,0,1,0,0,0,0,"I am opposed to ObamaCare because it is wrong to force people to either sign up for the government  health coverage or pay a fine. Government controlled healthcare is a bad idea because then the government can reach more into our lives than Ever. They will be able to control whatever they want because they can say it affects our health.",337
1,224,5,27,1,4,8,1,1,7,2,3,0,5.8,7,4.2,3.2,0,0,0,1,0,1,0,0,"healthcare is the right of every American person. People who can afford to buy private insurance need a place where's study can get covered for an affordable price. The government is the only entity that can provide that. ",222
1,343,6,21,1,3,58,2,2,4,3,3,0,4.2,4.4,4.2,4.8,0,0,0,4,0,0,0,0,"I believe ObamaCare is bad for the United States because it forces all companies to give healthcare, some of these companies can not afford it.",144
